graph_slot,graph_time,window_start,window_end_exclusive,window_steps,missing_cells,valid_for_pcmci,assigned_graph_slot
243,2023-09-08 00:00:00,2023-09-01 00:00:00,2023-09-08 00:00:00,2016,0,1,243
244,2023-09-09 00:00:00,2023-09-02 00:00:00,2023-09-09 00:00:00,2016,0,1,244
245,2023-09-10 00:00:00,2023-09-03 00:00:00,2023-09-10 00:00:00,2016,0,1,245
246,2023-09-11 00:00:00,2023-09-04 00:00:00,2023-09-11 00:00:00,2016,0,1,246
247,2023-09-12 00:00:00,2023-09-05 00:00:00,2023-09-12 00:00:00,2016,0,1,247
248,2023-09-13 00:00:00,2023-09-06 00:00:00,2023-09-13 00:00:00,2016,0,1,248
249,2023-09-14 00:00:00,2023-09-07 00:00:00,2023-09-14 00:00:00,2016,0,1,249
250,2023-09-15 00:00:00,2023-09-08 00:00:00,2023-09-15 00:00:00,2016,0,1,250
251,2023-09-16 00:00:00,2023-09-09 00:00:00,2023-09-16 00:00:00,2016,0,1,251
252,2023-09-17 00:00:00,2023-09-10 00:00:00,2023-09-17 00:00:00,2016,0,1,252
253,2023-09-18 00:00:00,2023-09-11 00:00:00,2023-09-18 00:00:00,2016,0,1,253
254,2023-09-19 00:00:00,2023-09-12 00:00:00,2023-09-19 00:00:00,2016,0,1,254
255,2023-09-20 00:00:00,2023-09-13 00:00:00,2023-09-20 00:00:00,2016,0,1,255
256,2023-09-21 00:00:00,2023-09-14 00:00:00,2023-09-21 00:00:00,2016,0,1,256
257,2023-09-22 00:00:00,2023-09-15 00:00:00,2023-09-22 00:00:00,2016,0,1,257
258,2023-09-23 00:00:00,2023-09-16 00:00:00,2023-09-23 00:00:00,2016,0,1,258
259,2023-09-24 00:00:00,2023-09-17 00:00:00,2023-09-24 00:00:00,2016,0,1,259
260,2023-09-25 00:00:00,2023-09-18 00:00:00,2023-09-25 00:00:00,2016,0,1,260
261,2023-09-26 00:00:00,2023-09-19 00:00:00,2023-09-26 00:00:00,2016,0,1,261
262,2023-09-27 00:00:00,2023-09-20 00:00:00,2023-09-27 00:00:00,2016,0,1,262
263,2023-09-28 00:00:00,2023-09-21 00:00:00,2023-09-28 00:00:00,2016,0,1,263
264,2023-09-29 00:00:00,2023-09-22 00:00:00,2023-09-29 00:00:00,2016,0,1,264
265,2023-09-30 00:00:00,2023-09-23 00:00:00,2023-09-30 00:00:00,2016,0,1,265
266,2023-10-01 00:00:00,2023-09-24 00:00:00,2023-10-01 00:00:00,2016,0,1,266
267,2023-10-02 00:00:00,2023-09-25 00:00:00,2023-10-02 00:00:00,2016,0,1,267
268,2023-10-03 00:00:00,2023-09-26 00:00:00,2023-10-03 00:00:00,2016,0,1,268
269,2023-10-04 00:00:00,2023-09-27 00:00:00,2023-10-04 00:00:00,2016,0,1,269
270,2023-10-05 00:00:00,2023-09-28 00:00:00,2023-10-05 00:00:00,2016,0,1,270
271,2023-10-06 00:00:00,2023-09-29 00:00:00,2023-10-06 00:00:00,2016,0,1,271
272,2023-10-07 00:00:00,2023-09-30 00:00:00,2023-10-07 00:00:00,2016,0,1,272
273,2023-10-08 00:00:00,2023-10-01 00:00:00,2023-10-08 00:00:00,2016,0,1,273
