previous_graph_slot,current_graph_slot,slot_gap,previous_edges,current_edges,intersection_edges,union_edges,added_edges,removed_edges,edge_jaccard,weighted_cosine,relative_frobenius_change
156,157,1,100,100,81,119,19,19,0.680672268907563,0.9252462443935494,0.3840105036675607
157,158,1,100,100,80,120,20,20,0.6666666666666666,0.9203092628236664,0.404692840791337
158,159,1,100,100,82,118,18,18,0.6949152542372882,0.9359559232778708,0.3608288697691144
159,160,1,100,100,78,122,22,22,0.639344262295082,0.9137898522111707,0.41103894300130844
160,161,1,100,100,81,119,19,19,0.680672268907563,0.9291103739341864,0.3765325763444698
161,162,1,100,100,83,117,17,17,0.7094017094017094,0.9357525447534506,0.360212087813867
162,163,1,100,100,83,117,17,17,0.7094017094017094,0.9526284754520268,0.3068709522893038
163,164,1,100,100,84,116,16,16,0.7241379310344828,0.9497198944918036,0.3167621765791455
164,165,1,100,100,82,118,18,18,0.6949152542372882,0.9451601052748114,0.3340172735908423
165,166,1,100,100,84,116,16,16,0.7241379310344828,0.9543533636805447,0.30223419552822384
166,167,1,100,100,74,126,26,26,0.5873015873015873,0.9004607849821239,0.46895782897874283
167,168,1,100,100,81,119,19,19,0.680672268907563,0.9532711329260246,0.3158098090042915
168,169,1,100,100,80,120,20,20,0.6666666666666666,0.9501908988721114,0.31545589033498206
169,170,1,100,100,92,108,8,8,0.8518518518518519,0.9537722269120935,0.30078083403116057
170,171,1,100,100,88,112,12,12,0.7857142857142857,0.9527137823958552,0.308069310209799
171,172,1,100,100,84,116,16,16,0.7241379310344828,0.9340054834739506,0.3587598075248467
172,173,1,100,100,86,114,14,14,0.7543859649122807,0.9650155454300263,0.2646207968265193
173,174,1,100,100,84,116,16,16,0.7241379310344828,0.9591623687865066,0.28505566443812064
174,175,1,100,100,83,117,17,17,0.7094017094017094,0.954978408116059,0.3012480103598541
175,176,1,100,100,84,116,16,16,0.7241379310344828,0.9589030073049893,0.2871354601543947
176,177,1,100,100,78,122,22,22,0.639344262295082,0.9382918313967606,0.35407315454850147
177,178,1,100,100,81,119,19,19,0.680672268907563,0.9546551682565573,0.3060503104821657
178,179,1,100,100,83,117,17,17,0.7094017094017094,0.9609122765088602,0.2777312499169668
179,180,1,100,100,86,114,14,14,0.7543859649122807,0.9654797128260578,0.26078393128464994
180,181,1,100,100,85,115,15,15,0.7391304347826086,0.9592919556492748,0.2897362964494358
181,182,1,100,100,86,114,14,14,0.7543859649122807,0.9628189675488711,0.27219065835529554
182,183,1,100,100,82,118,18,18,0.6949152542372882,0.9528068503139373,0.30900845060138293
183,184,1,100,100,89,111,11,11,0.8018018018018018,0.9763084209185349,0.21686826789820213
184,185,1,100,100,82,118,18,18,0.6949152542372882,0.9521588919442577,0.30748977108946757
185,186,1,100,100,82,118,18,18,0.6949152542372882,0.9390068480894119,0.34399911378638826
186,187,1,100,100,83,117,17,17,0.7094017094017094,0.9517941144184813,0.30926519513227474
187,188,1,100,100,83,117,17,17,0.7094017094017094,0.9434917545675114,0.33672541250872884
188,189,1,100,100,84,116,16,16,0.7241379310344828,0.958303950856025,0.28738928033122735
189,190,1,100,100,86,114,14,14,0.7543859649122807,0.9623853502571204,0.2723585817390069
190,191,1,100,100,89,111,11,11,0.8018018018018018,0.9515710565078309,0.317519997784749
191,192,1,100,100,80,120,20,20,0.6666666666666666,0.9277127575090867,0.3733884834150378
192,193,1,100,100,77,123,23,23,0.6260162601626016,0.9190062206391013,0.41857673584110616
193,194,1,100,100,81,119,19,19,0.680672268907563,0.9479335552735149,0.31931774283176473
194,195,1,100,100,75,125,25,25,0.6,0.9300951559275168,0.37803692059439103
195,196,1,100,100,82,118,18,18,0.6949152542372882,0.9528095723079186,0.3068629254960195
196,197,1,100,100,84,116,16,16,0.7241379310344828,0.9531902088585372,0.30639357161850617
197,198,1,100,100,80,120,20,20,0.6666666666666666,0.9329235691503505,0.36342470888813
198,199,1,100,100,82,118,18,18,0.6949152542372882,0.9290277372167881,0.37812143296359435
199,200,1,100,100,81,119,19,19,0.680672268907563,0.9413196422450658,0.342596041176601
200,201,1,100,100,87,113,13,13,0.7699115044247787,0.9590394376916959,0.2865568473142467
201,202,1,100,100,88,112,12,12,0.7857142857142857,0.9660256383119847,0.25951543301168756
202,203,1,100,100,82,118,18,18,0.6949152542372882,0.9449305142489157,0.32986951176384965
